t_iso,frame_i,fsm_state,align_sub,camera_frame_number,camera_frame_delta,camera_sensor_timestamp_ms,camera_sensor_interval_ms,camera_timestamp_domain,camera_input_host_mono_ms,camera_input_interval_ms,inference_ran,inference_start_host_mono_ms,inference_end_host_mono_ms,model_inference_ms,input_to_inference_end_ms,pose_result_host_mono_ms,input_to_pose_result_ms,model_det_ok,pnp_ok,yaw_deg,pos_x_m,pos_z_m,center_bearing_deg
2026-09-01T17:43:51.695,70,ACQUIRE_VERIFY,ACQUIRE_VERIFY,235,2,1788252231628.648,66.789,timestamp_domain.system_time,20979312.000,94.000,1,20979312.000,20979343.000,31.000,31.000,20979343.000,31.000,1,1,-1.9169,-0.163327,3.998717,-2.3389
2026-09-01T17:43:51.796,71,ACQUIRE_VERIFY,ACQUIRE_VERIFY,239,4,1788252231761.961,133.313,timestamp_domain.system_time,20979406.000,94.000,1,20979421.000,20979437.000,16.000,31.000,20979437.000,31.000,1,1,-3.4234,-0.160081,3.984723,-2.3006
2026-09-01T17:43:51.888,72,ACQUIRE_VERIFY,ACQUIRE_VERIFY,242,3,1788252231862.009,100.048,timestamp_domain.system_time,20979500.000,94.000,1,20979500.000,20979531.000,31.000,31.000,20979531.000,31.000,1,1,-3.0585,-0.162210,3.985183,-2.3308
2026-09-01T17:43:51.980,73,ACQUIRE_VERIFY,ACQUIRE_VERIFY,244,2,1788252231928.569,66.560,timestamp_domain.system_time,20979609.000,109.000,1,20979609.000,20979625.000,16.000,16.000,20979625.000,16.000,1,1,-3.5276,-0.161585,3.984658,-2.3222
2026-09-01T17:43:52.086,74,ACQUIRE_VERIFY,ACQUIRE_VERIFY,247,3,1788252232028.854,100.286,timestamp_domain.system_time,20979703.000,94.000,1,20979703.000,20979734.000,31.000,31.000,20979734.000,31.000,1,1,-3.0256,-0.161298,3.995614,-2.3117
2026-09-01T17:43:52.177,75,ACQUIRE_VERIFY,ACQUIRE_VERIFY,250,3,1788252232128.766,99.912,timestamp_domain.system_time,20979781.000,78.000,1,20979781.000,20979812.000,31.000,31.000,20979812.000,31.000,1,1,-2.8820,-0.161770,3.992754,-2.3201
2026-09-01T17:43:52.268,76,ACQUIRE_VERIFY,ACQUIRE_VERIFY,253,3,1788252232228.992,100.226,timestamp_domain.system_time,20979875.000,94.000,1,20979875.000,20979906.000,31.000,31.000,20979906.000,31.000,1,1,-3.1128,-0.161004,3.996984,-2.3067
2026-09-01T17:43:52.372,77,ACQUIRE_VERIFY,ACQUIRE_VERIFY,256,3,1788252232329.049,100.056,timestamp_domain.system_time,20979968.000,93.000,1,20979984.000,20980015.000,31.000,47.000,20980015.000,47.000,1,1,-2.7923,-0.160804,3.986784,-2.3097
2026-09-01T17:43:52.466,78,ACQUIRE_VERIFY,ACQUIRE_VERIFY,259,3,1788252232429.034,99.985,timestamp_domain.system_time,20980078.000,110.000,1,20980078.000,20980109.000,31.000,31.000,20980109.000,31.000,1,1,-2.9845,-0.161224,3.979254,-2.3201
2026-09-01T17:43:52.566,79,ACQUIRE_VERIFY,ACQUIRE_VERIFY,262,3,1788252232529.270,100.236,timestamp_domain.system_time,20980171.000,93.000,1,20980187.000,20980203.000,16.000,32.000,20980203.000,32.000,1,1,-2.4939,-0.161911,3.988366,-2.3247
2026-09-01T17:43:52.650,80,ACQUIRE_VERIFY,ACQUIRE_VERIFY,264,2,1788252232596.043,66.773,timestamp_domain.system_time,20980281.000,110.000,1,20980281.000,20980296.000,15.000,15.000,20980296.000,15.000,1,1,-2.8809,-0.162057,3.989790,-2.3260
2026-09-01T17:43:52.749,81,ACQUIRE_VERIFY,ACQUIRE_VERIFY,265,1,1788252232629.266,33.224,timestamp_domain.system_time,20980375.000,94.000,1,20980375.000,20980390.000,15.000,15.000,20980390.000,15.000,1,1,-2.4466,-0.163060,3.994361,-2.3377
