beta_deg,camera_z_m,category,clearance_m,cycles,elapsed_sec,final_camera_z_m,final_yaw_deg,forward_m,min_fov_deg,radius_m,reason,success,terminal,turn_deg,x_m,y_m
-7.5,-0.025294673755595798,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,-0.15663143066406188,1.1897338336485723
-5.0,-0.027907083950460154,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,-0.1045868912971898,1.1954336377100947
-2.5,-0.02947652187002192,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,-0.0523432648384032,1.1988578658982294
0.0,-0.030000000000000138,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,0.0,1.2
2.5,-0.02947652187002192,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,0.0523432648384032,1.1988578658982294
5.0,-0.027907083950460154,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,0.1045868912971898,1.1954336377100947
7.5,-0.025294673755595798,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,0.15663143066406188,1.1897338336485723
10.0,-0.0216442641567145,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,0.2083778132003164,1.1817693036146495
12.5,-0.016962803915963498,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,0.25972753672572346,1.17155520854392
15.0,-0.01125920445898776,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,0.3105828541230249,1.159110991546882
17.5,-0.004544322911524956,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,0.36084695940512773,1.1444603408978722
20.0,0.0031690585677501826,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,0.41042417199080244,1.12763114494309
22.5,0.01186625711879219,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,0.4592201188381077,1.1086554390135441
25.0,0.021530717129842336,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,0.5071419140888394,1.0875693444439798
